name,id,template,numeric_id,variant_group,sort_order,sort_feature,intro_year,intro_month,year_order,enable_param,Type,roadtype,top_speed,model_life,vehicle_life,loading_speed,weight,power,reliability,capacity,running_cost_bias,engine,smoke_location,text,has_flatbed,has_covered_goods,has_alternate_goods,has_year_dependent_cargo,has_open_livestock,has_piece_goods_tanker,has_alternate_livery,trailer,custom_cargo_aging,limiter_speed,articulated_graphics,articulated_visual_effects,articulated_capacities,articulated_configuration,articulated_lengths,layout,ttd_len,is_tram,horse_type,cost,run_cost_modifier,running_cost,kmish_speed,kmish_limiter_speed,cars,additional_power_units,articulated_units,virtual_units,capacity_per_unit,capacity_per_trailer,length,width,height,voxel_size,notes
Leyland National,leyland_national,bus,1721,,1721,FEAT_ROADVEHS,1972,1,1,enable_buses,Bus,ROAD,52,23,22,5,7,165,20,58,1,diesel,3,The Leyland National was designed to be simple and easy to service. Many operators extended the life of their Nationals by fitting newer engine models.,,,,,,,,,,,,,,,,,8,,,65,,86,42,0,,,1,1,58,58,11.3,2.5,,106x36x0,
MCW Metrobus,mcw_metrobus,bus,1771,,1771,FEAT_ROADVEHS,1977,1,1,enable_buses,Bus,ROAD,45,12,19,7,10,210,20,71,1,coach,3,The MCW Metrobus was built by Metro Cammell Weymann and saw use mainly in urban areas.,,,,,,,,,,,,,,,,,8,,,60,,88,36,0,,,1,1,71,71,12.0,2.5,4.2,112x36x41,
Volvo B10M,volvo_b10m,bus,1781,,1781,FEAT_ROADVEHS,1978,6,1,enable_buses,Bus,ROAD,62,25,22,4,12,245,18,55,1,powerful,3,The Volvo B10M sold very well in the UK and was used widely by charter coach companies.,,,,,,,,,,,,,,,,,8,,,69,,102,50,0,,,1,1,55,55,12.0,2.5,3.3,112x36x32,
Leyland Olympian,leyland_olympian,bus,1801,,1801,FEAT_ROADVEHS,1980,1,1,enable_buses,Bus,ROAD,47,13,22,7,10,180,20,73,1,diesel,3,The Olympian was the last bus to be manufactured under the Leyland name.,,,,,,,,,,,,,,,,,8,,,69,,88,38,0,,,1,1,73,73,12.0,2.5,4.2,112x36x41,
MCW Metrorider,mcw_metrorider,bus,1861,,1861,FEAT_ROADVEHS,1986,10,1,enable_buses,Bus,ROAD,64,14,11,5,6,130,24,33,1,diesel,2,"The MCW Metrorider was a big improvement over van-based small buses. When MCW ended bus production in 1989 the rights to the design were bought by Optare, who continued making it until 2000.",,,,,,,,,,,,,,,,,7,,,30,,78,52,0,,,1,1,33,33,8.4,2.3,2.7,78x33x26,
Dennis Dart,dennis_dart,bus,1891,,1891,FEAT_ROADVEHS,1989,1,1,enable_buses,Bus,ROAD,56,19,21,5,6,130,20,50,1,diesel,3,The Dennis Dart was a small single decker bus produced with several body variants and a low-floor version called Dart SLF,,,,,,,,,,,,,,,,,8,,,61,,82,45,0,,,1,1,50,50,10.2,2.4,2.7,95x35x26,
Volvo Olympian,volvo_olympian,bus,1921,,1921,FEAT_ROADVEHS,1992,3,1,enable_buses,Bus,ROAD,48,12,22,7,10,240,20,73,1,powerful,3,"After Volvo took over Leyland's bus operations, they continued to manufacture the Olympian. Although similar in layout, many changes were made to the chassis with Leyland systems replaced by Volvo's own.",,,,,,,,,,,,,,,,,8,,,70,,95,39,0,,,1,1,73,73,12.0,2.5,4.2,112x36x41,
Renault Agora,renault_agora,bus,1951,,1951,FEAT_ROADVEHS,1995,1,1,enable_buses,Bus,ROAD,60,21,17,5,6.5,249,20,53,1,diesel,3,"The Renault (later Irisbus) Agora is a low floor bus used across Europe, with 23 Optare-bodied models used for the Norwich park and ride service.",,,,,,,,,,,,,,,,,8,,,54,,99,48,0,,,1,1,53,53,10.2,2.4,2.7,95x35x26,249hp
Dennis Trident 2,dennis_trident_2,bus,1971,,1971,FEAT_ROADVEHS,1997,1,1,enable_buses,Bus,ROAD,55,21,21,5,10,220,20,82,1,coach,3,The Dennis Trident with Alexander ALX400 bodywork was used by a large variety of UK bus operators.,,,,,,,,,,,,,,,,,8,,,78,,106,44,0,,,1,1,82,82,11.0,2.6,4.4,103x37x43,
Optare Solo,optare_solo,bus,1981,,1981,FEAT_ROADVEHS,1998,1,1,enable_buses,Bus,ROAD,59,15,15,5,7,110,20,33,1,coach,2,"The Solo, named for its low floor, is a unitary construction bus with an unsual front axle layout",,,,,,,,,,,,,,,,,8,,,38,,72,48,0,,,1,1,33,33,10.2,2.3,2.7,95x33x26,
Volvo B6BLE,volvo_b6ble,bus,1991,,1991,FEAT_ROADVEHS,1999,1,1,enable_buses,Bus,ROAD,58,19,19,5,6,180,20,59,1,diesel,3,"The B6BLE is a small low entry bus from Volvo, with the ability to kneel the front suspension. This variant has Wright Crusader 2 bodywork.",,,,,,,,,,,,,,,,,8,,,62,,95,47,0,,,1,1,59,59,10.2,2.4,2.7,95x35x26,
Volvo B12M,volvo_b12m,bus,2011,,2011,FEAT_ROADVEHS,2001,1,1,enable_buses,Bus,ROAD,70,-1,22,4,12,320,18,58,1,powerful,3,The B12M is an updated version of the Volvo B10M,,,,,,,,,,62,,,,,,,8,,,75,,118,56,50,,,1,1,58,58,12.0,2.5,3.3,112x36x32,
Mercedes-Benz Citaro,mercedes_citaro,articulated_bus,2012,,2012,FEAT_ROADVEHS,2001,1,2,enable_buses,Bus,ROAD,55,-1,11,10,14,320,25,140,1,diesel,3,"Although criticised for its length in inner cities and early problems with reliability, the Citaro ""bendy bus"" offers fast loading speeds on busy routes.",,,,,,,,,,,"front,rear",",1","80,60","front,rear","6,4","mercedes_citaro_front,mercedes_citaro_rear",6,,,57,,135,44,0,,,2,2,70,140,18.0,2.5,3.2,168x36x31,
Dennis Enviro400,dennis_enviro_400,bus,2051,,2051,FEAT_ROADVEHS,2005,1,1,enable_buses,Bus,ROAD,60,18,20,7,11,185,20,90,1,powerful,3,The Dennis Enviro400 is an updated version of the earlier Dennis Trident that is widely used across the UK for both city and rural services.,,,,,,,,,,,,,,,,,8,,,82,,112,48,0,,,1,1,90,90,11.4,2.6,4.2,106x37x41,
Wrightbus Pulsar (Hydrogen),wright_pulsar,bus,2112,,2112,FEAT_ROADVEHS,2011,1,2,enable_buses,Bus,ROAD,50,-1,16,6,10,101,22,72,1,hydrogen,3,"This unusual hydrogen-powered bus, based on a VDL SB200 chassis, was used in London for the RV1 tourist route",,,,,,,,,,,,,,,,,8,,,55,,82,40,0,,,1,1,72,72,,,,0x0x0,
Wrightbus New Routemaster,wright_nb4l,bus,2121,,2121,FEAT_ROADVEHS,2012,1,1,enable_buses,Bus,ROAD,50,-1,20,7,12.5,185,23,87,1,coach,3,"Despite early teething problems with air conditioning and increased fare evasion due to the open rear platform, the ""new bus for London"" saw wide usage across the capital.",,,,,,,,,,,,,,,,,8,,,73,,98,40,0,,,1,1,87,87,,,,0x0x0,
Optare Solo SR,optare_solo_sr,bus,2122,,2122,FEAT_ROADVEHS,2012,1,2,enable_buses,Bus,ROAD,60,-1,16,5,7.5,110,20,35,0.95,coach,2,The Solo SR is an updated version of the Solo with reduced weight and better fuel economy,,,,,,,,,,,,,,,,,8,,,44,,70,48,0,,,1,1,35,35,10.2,2.3,2.7,95x33x26,
Optare MetroCity,optare_metrocity,bus,2131,,2131,FEAT_ROADVEHS,2013,5,1,enable_buses,Bus,ROAD,59,-1,18,5,6,175,20,59,1,diesel,3,The Optare MetroCity replaced the Tempo SR in the UK after poor sales of the latter.,,,,,,,,,,,,,,,,,8,,,60,,95,48,0,,,1,1,59,59,10.2,2.4,2.7,95x35x26,
Dennis Enviro400H MMC,dennis_enviro_400_mmc,bus,2141,,2141,FEAT_ROADVEHS,2014,10,1,enable_buses,Bus,ROAD,60,-1,20,7,11,240,20,90,0.9,coach,3,The Dennis Enviro400H MMC has a hybrid system which improves acceleration away from a stop while reducing fuel use and emissions at the same time.,,,,,,,,,,,,,,,,,8,,,90,,106,48,0,,,1,1,90,90,11.4,2.6,4.2,106x37x41,
Wright Streetdeck HEV,wright_streetdeck,bus,2181,,2181,FEAT_ROADVEHS,2018,5,1,enable_buses,Bus,ROAD,58,-1,18,7,11,230,20,96,0.9,coach,3,The Wright Streetdeck is a hybrid-powered bus with distinctive 'Stealth' front end styling.,,,,,,,,,,,,,,,,,8,,,83,,105,47,0,,,1,1,96,96,10.5,2.5,4.4,98x36x43,
BYD/ADL Enviro400EV,dennis_enviro_400_ev,bus,2201,,2201,FEAT_ROADVEHS,2020,1,1,enable_buses,Bus,ROAD,55,-1,20,7,12,300,20,90,0.75,electric_with_bong,1,"The Enviro400 EV is a joint venture, using BYD's experience in producing all-electric buses to provide a city double decker that can run all day on a single charge.",,,,,,,,,,,,,,,,,8,,,98,,87,44,0,,,1,1,90,90,11.4,2.6,4.2,106x37x41,
Irizar ie tram,irizar_ie_tram,bus,2223,,2223,FEAT_ROADVEHS,2023,1,1,enable_buses,Bus,ROAD,45,-1,17,8,9,275,20,97,0.75,electric,1,"The Irizar ie tram is a new style of bus with a tram-style internal layout, maximising standing room for passengers.",,,,,,,,,,,,,,,,,8,,,79,,77,36,0,,,1,1,97,97,12.1,2.5,3.4,113x36x33,
Leyland Steam Van,leyland_steam_van,lorry,2935,,2935,FEAT_ROADVEHS,1897,1,1,enable_lorries,Heavy Goods,DIRT_ROAD,20,20,15,5,4,20,20,13,1,steam,-3,The Leyland Steam van was the first vehicle produced by Leyland. It only offered a small advantage over its horse-drawn counterparts.,,,,,yes,yes,,,,,,,,,,,6,,,14,,16,16,0,,,1,1,13,13,,,,0x0x0,
Foden 5 ton steam wagon,foden_5t,lorry,3021,,3021,FEAT_ROADVEHS,1902,1,1,enable_lorries,Heavy Goods,DIRT_ROAD,19,20,15,5,5,35,20,16,1,steam,-3,"The Foden 5 ton wagon was an example of an ""overtype"" steam lorry in which the engine was mounted above the boiler.",,,,,yes,yes,,,,,,,,,,,8,,,15,,20,15,0,,,1,1,16,16,,,,0x0x0,
Leyland X Type,leyland_x_type,lorry,3071,,3071,FEAT_ROADVEHS,1907,1,1,enable_lorries,Heavy Goods,ROAD,22,15,15,5,5.5,35,20,18,1,diesel,2,The Leyland X Type used a large petrol engine for its motive power,yes,,,,yes,yes,,,,,,,,,,,7,,,17,,23,18,0,,,1,1,18,18,,,,0x0x0,
Thornycroft Type J,thornycroft_type_j,lorry,3131,,3131,FEAT_ROADVEHS,1913,1,1,enable_lorries,Heavy Goods,DIRT_ROAD,24,20,18,5,4.5,30,20,18,1,diesel,2,The Thornycroft Type J was widely used in the First World War.,yes,yes,,,yes,yes,,,,,,,,,,,7,,,21,,23,19,0,,,1,1,18,18,,,,0x0x0,
Vulcan Lorry,vulcan_lorry,lorry,3231,,3231,FEAT_ROADVEHS,1923,1,1,enable_lorries,Heavy Goods,ROAD,28,21,19,5,4.5,40,20,18,1,diesel,2,"Vulcan was a lorry manufacturer in Southport, whose vehicles were advertised on their dependability.",yes,yes,,,yes,yes,,,,,,,,,,,7,,,24,,28,23,0,,,1,1,18,18,,,,0x0x0,
Sentinel DG4,sentinel_dg4,lorry,3281,,3281,FEAT_ROADVEHS,1928,1,1,enable_lorries,Heavy Goods,ROAD,37,20,16,5,6,100,20,15,1.05,steam,-3,Steam lorries were popular into the 1930s due to their high power and speed compared to early internal combustion engines.,yes,,,,yes,,,,,,,,,,,,8,,,20,,42,30,0,,,1,1,15,15,,,,0x0x0,
AEC Mammoth Major 8,mammoth_major_8,lorry,3351,,3351,FEAT_ROADVEHS,1935,1,1,enable_lorries,Heavy Goods,ROAD,29,25,15,5,7,110,20,24,1,diesel,3,The Mammoth was AEC's heaviest model and could carry large loads.,yes,,,,,,,,,,,,,,,,8,,,23,,40,23,0,,,1,1,24,24,,,,0x0x0,
Leyland Badger,leyland_badger,lorry,3361,,3361,FEAT_ROADVEHS,1936,1,1,enable_lorries,Heavy Goods,ROAD,37,20,15,5,5.5,70,20,20,1,diesel,2,The Leyland Badger was typical of Leyland's petrol-powered trucks from the 1930s. They could be converted to 6x4 chassis to improve drivability on rough roads.,yes,,,,yes,yes,,,,,,,,,,,7,,,23,,40,30,0,,,1,1,20,20,,,,0x0x0,
Vulcan Mk.II,vulcan_mk2,lorry,3491,,3491,FEAT_ROADVEHS,1949,7,1,enable_lorries,Heavy Goods,ROAD,46,18,15,5,6,90,20,19,1,diesel,2,"The Vulcan Mk.II was sadly short-lived; parent company Tillings-Stevens was taken over by the Rootes Group in 1950, and by 1953 Rootes had developed their own range of heavy commercial vehicles.",yes,yes,,,,,,,,,,,,,,,8,,,25,,48,37,0,,,1,1,19,19,,,,0x0x0,
Leyland Octopus,leyland_octopus,lorry,3521,,3521,FEAT_ROADVEHS,1952,1,1,enable_lorries,Heavy Goods,ROAD,38,25,15,5,7.5,100,20,25,1,diesel,3,"Eight wheeled ""octopus"" lorries could carry heavy loads while still keeping relatively low axle weights to reduce road damage.",yes,,,,,,,,,,,,,,,,8,,,26,,48,31,0,,,1,1,25,25,,,,0x0x0,
Foden S20,foden_s20,lorry,3571,,3571,FEAT_ROADVEHS,1957,1,1,enable_lorries,Heavy Goods,ROAD,44,20,15,5,6.5,110,20,21,1,diesel,2,"The S20's cab used a traditional construction of both wood and metal, despite the streamlined appearance.",yes,yes,,,,,,,,,,,,,,,8,,,26,,51,35,0,,,1,1,21,21,,,,0x0x0,
Bedford TK,bedford_tk,lorry,3591,,3591,FEAT_ROADVEHS,1959,1,1,enable_lorries,Heavy Goods,ROAD,58,30,20,5,3,72,20,16,1,diesel,0,"The Bedford TK was a versatile small lorry that was adapted to many derivatives, including a telephone pole installation vehicle and the four-wheel-drive military Bedford MK",yes,yes,,,,,,,,,,,,,,,6,,,34,,51,47,0,,,1,1,16,16,6.2,2.2,2.6,58x32x25,72hp
Thompson Autotanker,thompson_autotanker,special/tanker,3581,,3581,FEAT_ROADVEHS,1958,2,1,enable_lorries,Heavy Goods,ROAD,52,10,15,5,8,200,20,22,1,diesel,3,"The futuristic Autotanker used a rear-engined Leyland Dromedary chassis, built for the prototype. Unfortunately the real vehicle was not used commercially, although thousands of Matchbox toy versions were produced.",,,,,,,,,,,,,,,,,8,,,29,,65,42,0,,,1,1,22,22,,,,0x0x0,
Foden S21,foden_s21,lorry,3631,,3631,FEAT_ROADVEHS,1963,1,1,enable_lorries,Heavy Goods,ROAD,48,20,16,5,7,120,20,24,1,diesel,3,The Foden S21 featured a futuristic cab design and a two-stroke diesel engine.,yes,yes,,,,,,,,,,,,,,,8,,,31,,57,39,0,,,1,1,24,24,,,,0x0x0,
Guy Big J6,guy_big_j6,lorry,3642,,3642,FEAT_ROADVEHS,1964,1,2,enable_lorries,Heavy Goods,ROAD,54,20,15,5,7.5,170,20,22,1,diesel,3,"Designed for motorway operation, the Guy Big J featured a high-revving Cummins engine. This is the rigid version.",yes,,,,,,,,,,,,,,,,8,,,30,,65,44,0,,,1,1,22,22,,,,0x0x0,170hp
Ford D Series,ford_d_series,lorry,3652,,3652,FEAT_ROADVEHS,1965,1,2,enable_lorries,Heavy Goods,ROAD,60,20,17,5,3,82,20,16,1,diesel,0,The Ford D Series was built to compete with the Bedford TK and introduced a new range of diesel engines,yes,,,,,,,,,56,,,,,,,6,,,30,,53,48,45,,,1,1,16,16,6.2,2.2,2.6,58x32x25,82hp
Saviem SM,saviem_sm,lorry,3671,,3671,FEAT_ROADVEHS,1967,1,1,enable_lorries,Heavy Goods,ROAD,56,15,22,5,5,170,20,22,1,diesel,3,"The Saviem SM Europe was the result of a collaboration between Saviem and MAN, where Saviem supplied cabs and MAN provided engines. Although more common in France a few were used in the UK.",yes,yes,,,,,,,,,,,,,,,8,,,41,,66,45,0,,,1,1,22,22,8.5,2.5,2.8,79x36x27,170hp
ERF 8LV,erf_lv,lorry,3701,,3701,FEAT_ROADVEHS,1970,1,1,enable_lorries,Heavy Goods,ROAD,55,21,19,5,8,220,20,26,1,diesel,3,"Often confused with the A series due to similar cabs, most rigid ERFs of the early 1970s were updated variants of the LV chassis.",yes,yes,,,,,,,,,,,,,,,8,,,40,,72,44,0,,,1,1,26,26,,,,0x0x0,
Seddon Atkinson 400,seddon_atkinson_400,lorry,3751,,3751,FEAT_ROADVEHS,1975,1,1,enable_lorries,Heavy Goods,ROAD,58,22,17,5,8,240,20,26,1,diesel,3,The Seddon Atkinson 400 was one of the most popular trucks of the 1970s.,yes,yes,,,,,,,,,,,,,,,8,,,37,,76,47,0,,,1,1,26,26,,,,0x0x0,
Ford Cargo,ford_cargo,lorry,3811,,3811,FEAT_ROADVEHS,1981,1,1,enable_lorries,Heavy Goods,ROAD,68,16,18,5,3,90,20,18,1,diesel,0,The Ford Cargo featured styling details from Ford's early 1980s car range.,yes,yes,,,,,,,,56,,,,,,,6,,,35,,62,55,45,,,1,1,18,18,6.2,2.2,2.6,58x32x25,90hp
ERF C-Series,erf_c_series,lorry,3821,,3821,FEAT_ROADVEHS,1982,1,1,enable_lorries,Heavy Goods,ROAD,60,20,20,5,9,315,20,28,1,coach,3,The ERF C-series introduced an improved cab design and several chassis improvements.,yes,yes,,,,,,,,56,,,,,,,8,,,46,,84,48,45,,,1,1,28,28,,,,0x0x0,
Mercedes LK,mercedes_lk,lorry,3831,,3831,FEAT_ROADVEHS,1983,1,1,enable_lorries,Heavy Goods,ROAD,64,18,19,5,9,136,20,22,1,diesel,0,The Mercedes LK featured angular lines and a tilting cab.,yes,yes,,,,,,,,56,,,,,,,7,,,40,,69,52,45,,,1,1,22,22,7.7,2.2,2.6,72x32x25,136hp
ERF E-Series,erf_e_series,lorry,3861,,3861,FEAT_ROADVEHS,1986,1,1,enable_lorries,Heavy Goods,ROAD,62,20,20,5,9,315,20,30,1,coach,3,"The E-series sold widely in the UK, and Cummins-engined models had a distinctive exhaust note.",yes,yes,,,,,,,,56,,,,,,,8,,,48,,88,50,45,,,1,1,30,30,,,,0x0x0,
Iveco Eurocargo,iveco_eurocargo,lorry,3931,,3931,FEAT_ROADVEHS,1993,1,1,enable_lorries,Heavy Goods,ROAD,72,-1,18,5,3,105,20,18,1,diesel,0,The Iveco Eurocargo is a medium duty lorry useful for routes with lower cargo demands.,yes,yes,,,,,,,,56,,,,,,,7,,,36,,66,58,45,,,1,1,18,18,6.2,2.2,2.6,58x32x25,105hp
Volvo FH12,volvo_fh12,lorry,3932,,3932,FEAT_ROADVEHS,1993,3,2,enable_lorries,Heavy Goods,ROAD,65,22,19,5,9,420,20,30,1,powerful,3,"Volvo's FH12 was a clean sheet design, and won Truck of the Year in 1994.",yes,yes,,,,,,,,56,,,,,,,8,,,47,,95,52,45,,,1,1,30,30,,,,0x0x0,
Foden Alpha,foden_alpha,lorry,3971,,3971,FEAT_ROADVEHS,1997,1,1,enable_lorries,Heavy Goods,ROAD,70,-1,15,5,9,405,20,32,1,coach,3,The Alpha was the last truck to bear the Foden nameplate.,yes,yes,,,,,,,,56,,,,,,,8,,,41,,101,56,45,,,1,1,32,32,,,,0x0x0,
DAF CF,daf_cf,lorry,3981,,3981,FEAT_ROADVEHS,1998,5,1,enable_lorries,Heavy Goods,ROAD,72,-1,14,5,9,460,20,30,1,diesel,3,"DAF's CF is a large truck with many chassis options, a development of the earlier 65/75/85 series.",yes,yes,,,,,,,,56,,,,,,,8,,,37,,103,58,45,,,1,1,30,30,,,,0x0x0,
DAF LF,daf_lf,lorry,4012,,4012,FEAT_ROADVEHS,2001,1,2,enable_lorries,Heavy Goods,ROAD,75,-1,18,5,9,207,20,24,1,diesel,0,"The DAF LF is a development of the earlier Leyland Roadrunner, and is available with many powertrain options including a hybrid.",yes,yes,,,,,,,,56,,,,,,,7,,,43,,86,60,45,,,1,1,24,24,8.5,2.2,2.6,79x32x25,207hp
Mitsubishi Fuso Canter,mitsubishi_canter,lorry,4051,,4051,FEAT_ROADVEHS,2005,1,1,enable_lorries,Heavy Goods,ROAD,80,-1,19,5,3,175,20,18,1,diesel,0,"Although earlier generations were not commonly seen in the UK, the 2004 model has been popular with many firms.",yes,yes,,,,,,,,,,,,,,,6,,,40,,79,65,0,,,1,1,18,18,6.2,2.2,2.6,58x32x25,175hp
MAN TGS,man_tgs,lorry,4071,,4071,FEAT_ROADVEHS,2007,1,1,enable_lorries,Heavy Goods,ROAD,74,-1,16,5,9,440,20,32,1,powerful,3,"The MAN TGS replaced the earlier TG-series models in 2007, offering a range of engines including turbocharged V8s.",yes,yes,,,,,,,,56,,,,,,,8,,,44,,107,60,45,,,1,1,32,32,,,,0x0x0,
Renault E-Tech D,renault_etech_d,lorry,4219,,4219,FEAT_ROADVEHS,2022,6,1,enable_lorries,Heavy Goods,ROAD,60,-1,17,5,8,250,20,22,1,electric,0,"The Renault E-Tech version of the D series is designed for urban usage, with a fully-electric drivetrain.",yes,yes,,,,,,,,56,,,,,,,7,,,35,,74,48,45,,,1,1,22,22,,,,0x0x0,
Ford Model T,ford_model_t,van,5121,,5121,FEAT_ROADVEHS,1912,1,1,enable_lorries,Light Goods,DIRT_ROAD,40,28,12,5,1,20,20,4,1,clean,-3,"The Ford Model T was produced in many forms over its long life, with delivery vans being a common option.",,,,,,,,,,,,,,,,,4,,,9,,18,32,0,,,1,1,4,4,,,,0x0x0,
Austin 10hp,austin_10hp,van,5381,,5381,FEAT_ROADVEHS,1938,6,1,enable_lorries,Light Goods,ROAD,45,20,14,5,1,32,20,5,1,clean,-3,The Austin 10hp was a van derived from the car of the same name.,,,,,,,,,,,,,,,,,4,,,12,,24,36,0,,,1,1,5,5,,,,0x0x0,
Wales & Edwards milk float,milkfloat,special/milk_float,5551,,5551,FEAT_ROADVEHS,1955,1,1,enable_lorries,Light Goods,ROAD,20,40,22,5,2,20,20,10,1,electric,-3,"Milk floats were a familiar sight in the UK up until the 1990s, when the shift to supermarket-bought milk made short range door-to-door delivery and its specialised vehicles unviable.",,,,,,,,,,,,,,,,,5,,,17,,15,16,0,,,1,1,10,10,,,,0x0x0,
Ford Thames 400E,ford_thames_400e,van,5571,,5571,FEAT_ROADVEHS,1957,1,1,enable_lorries,Light Goods,ROAD,60,16,12,5,1,53,20,6,1,clean,-3,The Ford Thames was designed to bring Ford's van offering up to the standards of its more modern competitors.,,,,,,,,,,,,,,,,,5,,,13,,35,48,0,,,1,1,6,6,,,,0x0x0,
Commer FC,commer_fc,van,5601,,5601,FEAT_ROADVEHS,1960,1,1,enable_lorries,Light Goods,ROAD,60,22,15,5,1,58,20,8,1.1,clean,-3,The Commer FC is a classic British van. The forward-control layout and hard to reach engine made it harder to maintain than more conventional vans such as Ford's Transit.,,,,,,,,,,,,,,,,,5,,,17,,43,48,0,,,1,1,8,8,,,,0x0x0,
Ford Transit Mk1,ford_transit_mk1,van,5651,,5651,FEAT_ROADVEHS,1965,12,1,enable_lorries,Light Goods,ROAD,65,18,14,5,1.5,90,20,8,1,clean,-3,"The Transit was a huge leap on from the narrow-tracked delivery vans it replaced, with a stable chassis and performance suitable for the expanding network of motorways.",,,,,,,,,,,,,,,,,6,,,18,,46,52,0,,,1,1,8,8,,,,0x0x0,
Bedford CF,bedford_cf,van,5691,,5691,FEAT_ROADVEHS,1969,6,1,enable_lorries,Light Goods,ROAD,73,18,15,5,1.5,70,20,9,1,diesel,-3,"The Bedford CF was GM's competitor for the Ford Transit, and was the base vehicle for many an ice cream van or camper conversion.",,,,,,,,,,,,,,,,,6,,,22,,49,59,0,,,1,1,9,9,,,,0x0x0,
Ford Transit Mk3,ford_transit_mk3,van,5861,,5861,FEAT_ROADVEHS,1986,1,1,enable_lorries,Light Goods,ROAD,80,20,14,5,1.5,100,20,10,1,clean,-3,The Mk3 Transit introduced a new aerodynamic body shell to the model.,,,,,,,,,,,,,,,,,6,,,23,,58,65,0,,,1,1,10,10,,,,0x0x0,
Bedford Rascal,bedford_rascal,van,5862,,5862,FEAT_ROADVEHS,1986,1,2,enable_lorries,Light Goods,ROAD,65,20,14,5,1,44,20,4,1,clean,-4,"The Bedford Rascal (also Suzuki Carry) was a tiny van for economical local deliveries, with a 970cc engine.",,,,,,,,,,,,,,,,,4,,,13,,31,52,0,,,1,1,4,4,,,,0x0x0,
Mercedes-Benz Sprinter,mercedes_sprinter,van,6061,,6061,FEAT_ROADVEHS,2006,1,1,enable_lorries,Light Goods,ROAD,85,-1,15,5,2,160,20,12,1,clean,-4,The Sprinter is famed in the van world for its powerful engine options and high top speed.,,,,,,,,,,,,,,,,,7,,,27,,70,69,0,,,1,1,12,12,,,,0x0x0,
Ford Transit Custom,ford_transit_custom,van,6121,,6121,FEAT_ROADVEHS,2012,1,1,enable_lorries,Light Goods,ROAD,92,-1,14,5,1.5,125,20,10,1,clean,-4,The Transit Custom continues the long Transit line with a modern van.,,,,,,,,,,,,,,,,,6,,,24,,66,74,0,,,1,1,10,10,,,,0x0x0,
Austin FX4,austin_fx4,taxi,7581,,7581,FEAT_ROADVEHS,1958,1,1,enable_buses,Car,ROAD,75,50,15,5,1.6,68,10,4,0.95,clean,-4,"The Austin FX4 is the definitive London taxi, with modern models still imitating its classic shape.",,,,,,,,,230,,,,,,,,4,,,16,,36,60,0,,,1,1,4,4,,,,0x0x0,68hp
Leyland Sherpa,leyland_sherpa,bus,7741,,7741,FEAT_ROADVEHS,1974,6,1,enable_buses,Car,ROAD,63,22,12,5,1.5,55,20,8,1,clean,-4,"The Leyland Sherpa saw use across the UK with many government agencies. It also had a cameo in the James Bond film 'The Spy Who Loved Me', being torn apart by Jaws",,,,,,,,,,,,,,,,,5,,,16,,40,51,0,,,1,1,8,8,,,,0x0x0,
Ford Cortina,ford_cortina,bus,7761,,7761,FEAT_ROADVEHS,1976,9,1,enable_buses,Car,ROAD,90,18,10,4,1.2,73,20,4,1,petrol,-4,The Cortina consistently topped best selling lists throughout its life. The squared-off Mk4 was introduced in 1976.,,,,,,,,,275,,,,,,,,5,,,11,,43,73,0,,,1,1,4,4,4.4,1.8,1.5,41x26x15,
Ford Transit Mk3 Minibus,ford_transit_mk3_minibus,bus,7861,,7861,FEAT_ROADVEHS,1986,2,1,enable_buses,Car,ROAD,80,26,14,5,1.5,100,20,9,1,clean,-4,The Mk3 Transit introduced a new aerodynamic body shell to the model. It was often sold in minibus form.,,,,,,,,,,,,,,,,,6,,,22,,56,65,0,,,1,1,9,9,,,,0x0x0,
Vauxhall Omega,vauxhall_omega,bus,7941,,7941,FEAT_ROADVEHS,1994,4,1,enable_buses,Car,ROAD,120,15,12,4,1.7,168,20,4,1.05,petrol,-4,"The Vauxhall Omega was the last of the large rear-wheel-drive saloons from a mainstream manufacturer, with higher specification models featuring a V6 petrol engine.",,,,,,,,,275,,,,,,,,5,,,15,,65,97,0,,,1,1,4,4,5.0,2.0,1.5,47x29x15,
LTI TX1,lti_tx1,taxi,7971,,7971,FEAT_ROADVEHS,1997,1,1,enable_buses,Car,ROAD,81,-1,15,5,1.8,88,12,5,0.95,clean,-4,The TX1 was the first truly successful attempt to replace the venerable Austin FX4.,,,,,,,,,230,,,,,,,,4,,,18,,43,65,0,,,1,1,5,5,,,,0x0x0,88hp
Volvo S40 T5,volvo_s40,bus,8041,,8041,FEAT_ROADVEHS,2004,2,1,enable_easter_eggs,Car,ROAD,145,10,14,4,1.5,217,16,4,1,t5,-4,The Volvo S40 T5 featured the same five-cylinder engine as the Focus ST in a comfortable saloon car.,,,,,,,,,295,,,,,,,,5,,,19,,74,117,0,,,1,1,4,4,,,,0x0x0,
Toyota Prius,toyota_prius,bus,8091,,8091,FEAT_ROADVEHS,2009,1,1,enable_buses,Car,ROAD,105,-1,12,4,1.5,134,20,4,0.85,petrol,-4,"The hybrid Prius can operate on battery power alone at lower speeds, making it a popular minicab in tows and cities.",,,,,,,,,275,,,,,,,,5,,,17,,46,85,0,,,1,1,4,4,,,,0x0x0,
